sr_no,name,id,city,address,work_sector,Address,City,State,Telephone,Mobile No,Website Url,E-mail
,,,,,,,,,,,,
6,A New Road,"show_ngo_info(""196923"");","911, New Delhi (DELHI)","C-32, Dwarkadheesh Apartments, Pkt-2, Sector-12Dwarka, New Delhi-110078","Children,Education & Literacy,Women's Development & Empowerment,Youth Affairs","E-74,3rd Floor Bharat Nagar,New Friends Colony, New Delhi-110025",Delhi,DELHI,011-26250001,Not Available,http://www.agwo.org,contact(at)agwo[dot]org
,,,,,,,,,,,,
7,A P GOYAL CHARITABLE TRUST,"show_ngo_info(""175107"");","4906, DELHI (DELHI)",66 SHANKAR VIHAR VIKAS MARGNEAR NIRMAN VIHAR,Data Not Found,"C-32, Dwarkadheesh Apartments, Pkt-2, Sector-12
Dwarka, New Delhi-110078",New Delhi,DELHI,Not Available,9810663406,Not Available,moumita[dot]ghosh(at)anewroad.org
,,,,,,,,,,,,
8,A to Z Foundation,"show_ngo_info(""115502"");","DL50215748603185M, NEW DELHI (DELHI)",36-B FIRST FLOOR KALKAJI NEW DELHI 110019,"Animal Husbandry, Dairying  &  Fisheries,Aged/Elderly,Agriculture,Art & Culture,Biotechnology,Children,Civic Issues,Differently Abled,Disaster Management,Dalit Upliftment,Drinking Water,Education & Literacy,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Housing,Human Rights,Information & Communication Technology,Legal Awareness & Aid,Labour & Employment,Land Resources,Micro Finance (SHGs),Minority Issues,Micro Small & Medium Enterprises",66 SHANKAR VIHAR VIKAS MARGNEAR NIRMAN VIHAR,DELHI,DELHI,Not Available,9310141302,Not Available,accounts(at)agu[dot]edu.in
,,,,,,,,,,,,
9,A WAY OF HAPPINESS EDUCATIONAL SOCIETY,"show_ngo_info(""116152"");","2058, new delhi (DELHI)",A-945 sangam vihar,Education & Literacy,36-B FIRST FLOOR KALKAJI NEW DELHI 110019,NEW DELHI,DELHI,011-00000000,9990100043,Not Available,foundationatoz(at)gmail[dot]com
,,,,,,,,,,,,
10,A ZEPHYR OF GLOBAL AWARNESS AND MEANS AGGRANDIZEMENT,"show_ngo_info(""202013"");","East/society/977/2014, East Delhi (DELHI)","5/7/13, GEETA COLONY,DELHI","Micro Finance (SHGs),Agriculture,Animal Husbandry, Dairying  &  Fisheries,Disaster Management,Education & Literacy,Environment & Forests,HIV/AIDS,Information & Communication Technology,Labour & Employment,Legal Awareness & Aid,Sports,Women's Development & Empowerment,Youth Affairs",A-945 sangam vihar,new delhi,DELHI,011-29221330,7053471730,http://awayofhappinessblog.wordpress.com,awohesociety(at)gmail[dot]com
,,,,,,,,,,,,
11,A.B.C. BLOCK RESIDENT WELFARE ASSOCIATION,"show_ngo_info(""239207"");","S/1214/SDM/NW/2012, NEW DELHI (DELHI)",PLOT NUMBER 423 BLOCK B-2 SULTAN PURI NEW DELHI 110086,Data Not Found,"5/7/13, GEETA COLONY,DELHI",East Delhi,DELHI,Not Available,8003596823,Not Available,AAGAAZ300414(at)GMAIL[dot]COM
,,,,,,,,,,,,
12,A2N Project  Development & Research Foundation,"show_ngo_info(""229255"");","1670, New Delhi (DELHI)","307, Crown Heights Sector10, Rohini, NearRithala Metro StationNew Delhi - 110085","Tribal Affairs,Vocational Training,Women's Development & Empowerment,Youth Affairs",PLOT NUMBER 423 BLOCK B-2 SULTAN PURI NEW DELHI 110086,NEW DELHI,DELHI,Not Available,9582273707,Not Available,paramjeetabc56(at)gmail[dot]com
,,,,,,,,,,,,
13,AABHAAR FOUNDATION,"show_ngo_info(""202501"");","346, DELHI (DELHI)","103, SHARMA COMPLEX, A-2, GURU NANAK PURA, LAXMINAGAR, DELHI-110092",Data Not Found,"307, Crown Heights Sector10, Rohini, NearRithala Metro StationNew Delhi - 110085",New Delhi,DELHI,Not Available,7340786436,Not Available,a2nproject2018(at)gmail[dot]com
,,,,,,,,,,,,
14,Aabhass Foundation,"show_ngo_info(""105108"");","Districteast/Society/1445/2015, Delhi (DELHI)","408, First floor, West Guru Angad Nagar, Laxmi Nagar, Delhi-110092.","Animal Husbandry, Dairying  &  Fisheries,Aged/Elderly,Agriculture,Children,Civic Issues,Differently Abled,Disaster Management,Education & Literacy,Environment & Forests,Health & Family Welfare,HIV/AIDS,Human Rights,Information & Communication Technology,Legal Awareness & Aid,Labour & Employment,Minority Issues,New & Renewable Energy,Panchayati Raj,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Science & Technology,Sports,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment","103, SHARMA COMPLEX, A-2, GURU NANAK PURA, LAXMINAGAR, DELHI-110092",DELHI,DELHI,Not Available,8700321268,Not Available,HMOHANCO50(at)GMAIL[dot]COM
,,,,,,,,,,,,
15,AACHIEVERS FOUNDATION,"show_ngo_info(""211045"");","1347, Delhi (DELHI)","Rohini,Sector15, PocketC9, House no32",Education & Literacy,"408, First floor, West Guru Angad Nagar, Laxmi Nagar, Delhi-110092.",Delhi,DELHI,011-47155068,9643744084,http://,aabhassfoundation2015(at)gmail[dot]com
,,,,,,,,,,,,
16,Aadar Charitable Trust,"show_ngo_info(""187735"");","1556, NEW DELHI (DELHI)","236, RAJPUR KHURD EXTENSION, CHHATARPUR, NEAR-TRIVOLI GARDEN, NEW DELHI-110068",Data Not Found,"Rohini,Sector15, PocketC9, House no32",Delhi,DELHI,Not Available,9560626013,Not Available,aachieversfoundation(at)gmail[dot]com
,,,,,,,,,,,,
17,AADARSH YUVA MANDAL,"show_ngo_info(""238950"");","S/62416/2008, NEW DELHI (DELHI)",BLOCK C-2 HOUSE NUMBER 437 SULTAN PURI DELHI 110086,Data Not Found,"236, RAJPUR KHURD EXTENSION, CHHATARPUR, NEAR-TRIVOLI GARDEN, NEW DELHI-110068",NEW DELHI,DELHI,Not Available,9810001190,Not Available,admin(at)ammtys[dot]com
,,,,,,,,,,,,
18,Aaddinath Lakshya Education & Welfare Society,"show_ngo_info(""164703"");","S/2248/SDM/NW/2015, Delhi (DELHI)",House No 153/1 BlockA Inder Enclave Phase-2 New Delhi,"Women's Development & Empowerment,Vocational Training,Education & Literacy,Sports,Agriculture,Children,Dalit Upliftment,Disaster Management,Any Other,Health & Family Welfare",BLOCK C-2 HOUSE NUMBER 437 SULTAN PURI DELHI 110086,NEW DELHI,DELHI,Not Available,9211471067,Not Available,tejpalrana826(at)gmail[dot]com
,,,,,,,,,,,,
19,AADERSH GRAMODAY SEVA SANSTHAN,"show_ngo_info(""199742"");","S-E/1413/2018, NEW DELHI (DELHI)","GD-99, GALI NO. 3, PUL PAHLADPUR, NEW DELHI-110072","Agriculture,Civic Issues,Drinking Water,Education & Literacy,Youth Affairs",House No 153/1 BlockA Inder Enclave Phase-2 New Delhi,Delhi,DELHI,Not Available,9871203472,https://sites.google.com/site/aaddinathlakshya/,info[dot]aaddinathlakshya(at)gmail.com
,,,,,,,,,,,,
20,AADHAAR An Association For Development Harmony & Action Research,"show_ngo_info(""153365"");","S/RS/SW/0214/2011, New Delhi (DELHI)","Uttarakhand office- 195/1, Vasant Vihar, Dehradun, 248006Reg. office-C/O Dr. Rajesh Sinha, A-12, Vasant Appartment,181/9, Kishangarh(opp. B-4), Vasantkunj, New Delhi-110070","Agriculture,Children,Dalit Upliftment,Disaster Management,Panchayati Raj,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Water Resources,Women's Development & Empowerment,Environment & Forests","GD-99, GALI NO. 3, PUL PAHLADPUR, NEW DELHI-110072",NEW DELHI,DELHI,Not Available,7011033832,Not Available,aadershgramodaysevasansthan(at)gmail[dot]com
,,,,,,,,,,,,
21,AADHAR,"show_ngo_info(""214512"");","DIT/E/98-99/A1094/981/338, New Delhi (DELHI)","A 361, Meera Bagh, Outer Ring Road,New Delhi -110087","Children,Health & Family Welfare","Uttarakhand office- 195/1, Vasant Vihar, Dehradun, 248006
Reg. office-C/O Dr. Rajesh Sinha, A-12, Vasant Appartment,181/9, Kishangarh(opp. B-4), Vasantkunj, New Delhi-110070",New Delhi,DELHI,Not Available,8171660669,http://aadhaarassociation.org,mailaadhaar(at)gmail[dot]com
,,,,,,,,,,,,
22,Aadhar Nirman Foundation,"show_ngo_info(""240572"");","S/RS/SW/1216/2014, NEW DELHI (DELHI)","242, GANPATI APARTMENT, SEC-9, PLOT NO.6, DWARKA, NEW DELHI-110075","Children,Education & Literacy,Rural Development & Poverty Alleviation,Science & Technology","A 361, Meera Bagh, Outer Ring Road,
New Delhi -110087",New Delhi,DELHI,Not Available,9212034435,http://www.aadhar.org,krajeshwary(at)gmail[dot]com
,,,,,,,,,,,,
23,Aadharica Socio Economic Empowerment Association,"show_ngo_info(""98762"");","S/678, DELHI (DELHI)","Reg. OfficeKh.No5, Gali No-4/1, Sangam Vihar, Wazirabad Village, Delhi-110084Branch Office - Verma Sadan, Shastri Nagar, Badda Gadda,malgodam road, Ballia 277001",Women's Development & Empowerment,"242, GANPATI APARTMENT, SEC-9, PLOT NO.6, DWARKA, NEW DELHI-110075",NEW DELHI,DELHI,Not Available,9990824246,Not Available,anfngo2014(at)gmail[dot]com
,,,,,,,,,,,,
24,Aadhunik,"show_ngo_info(""46745"");","S-23968, Laxmi Nagar (DELHI)",25 J Extension,Art & Culture,"Reg. OfficeKh.No5, Gali No-4/1, Sangam Vihar, Wazirabad Village, Delhi-110084Branch Office - Verma Sadan, Shastri Nagar, Badda Gadda,malgodam road, Ballia 277001",DELHI,DELHI,011-65291444,9310181520,Not Available,aaseeamamta9(at)gmail[dot]com
,,,,,,,,,,,,
25,AADHUNIK SAHITYA,"show_ngo_info(""235431"");","DELBIL/2012/42547, DELHI (DELHI)",AD/94/DSHALIMAR BAGHDELHI -110088,Art & Culture,25 J Extension,Laxmi Nagar,DELHI,011-22014747,9953906652,Not Available,dr[dot]krishankumarsharma(at)gmail.com
,,,,,,,,,,,,
26,AADHYA DURGA FOUNDATION,"show_ngo_info(""192627"");","123, DELHI (DELHI)","HOUSE NO 10656, FIRST FLOOR, NEAR MANAK PURA, KAROL BAGH, DELHI 110005.","Art & Culture,Children,Civic Issues,Drinking Water,Education & Literacy,Environment & Forests,Sports,Vocational Training,Women's Development & Empowerment,Youth Affairs","AD/94/D
SHALIMAR BAGHDELHI -110088",DELHI,DELHI,Not Available,9811184393,Not Available,aadhuniksahitya(at)gmail[dot]com
,,,,,,,,,,,,
27,AADIM SANSKRITI,"show_ngo_info(""157321"");","S/2224/DISTT SOUTH/20017, NEW DELHI (DELHI)","3252 SECTOR A, POCKET B, VASANT KUNJ, NEW DELHI -110070",Art & Culture,"HOUSE NO 10656, FIRST FLOOR, NEAR MANAK PURA, KAROL BAGH, DELHI 110005.",DELHI,DELHI,Not Available,9990515841,Not Available,vandanaraheja4(at)gmail[dot]com
,,,,,,,,,,,,
28,AADYA FOUNDATION,"show_ngo_info(""187509"");","500, NEW DELHI (DELHI)","1A, 1ST FLOOR, JAIN MANDIR MARG","Women's Development & Empowerment,Agriculture,Children,Environment & Forests,HIV/AIDS,Human Rights,Minority Issues,Panchayati Raj,Rural Development & Poverty Alleviation,Tribal Affairs","3252 SECTOR A, POCKET B, VASANT KUNJ, NEW DELHI -110070",NEW DELHI,DELHI,Not Available,9810865991,Not Available,rudramanipatra(at)gmail[dot]com
,,,,,,,,,,,,
29,Aagan Foundation For Children Emancipation,"show_ngo_info(""158643"");","S/548/SDM/NW/2011, New Delhi (DELHI)","Flat No. 202, D-22A, Budh Vihar, Near Badarpur Metro Station, Badarpur","Education & Literacy,Environment & Forests,Health & Family Welfare,HIV/AIDS,Minority Issues,Any Other","1A, 1ST FLOOR, JAIN MANDIR MARG",NEW DELHI,DELHI,Not Available,9250811195,http://www.aadyafoundation.in,vandanavatss(at)yahoo[dot]com
,,,,,,,,,,,,
30,AAGAZ FOUNDATION,"show_ngo_info(""171473"");","S47332 of 2003, DELHI (DELHI)","A-127, Inderpuri",Women's Development & Empowerment,"Flat No. 202, D-22A, Budh Vihar, Near Badarpur Metro Station, Badarpur",New Delhi,DELHI,Not Available,9811386723,Not Available,gargajay24(at)yahoo[dot]co.in
,,,,,,,,,,,,
31,AAHAR SANKALP FOUNDATION,"show_ngo_info(""236144"");","319, DELHI (DELHI)","B-130, SUBHASH PARK EXTENSION,UTTAM NAGAR, NEW DELHI-110059","Agriculture,Art & Culture,Children,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Labour & Employment,Nutrition,Rural Development & Poverty Alleviation,Sports,Tourism,Vocational Training,Water Resources,Women's Development & Empowerment,Youth Affairs","A-127, Inderpuri",DELHI,DELHI,Not Available,9911574440,Not Available,aagazfoundation[dot]india(at)gmail.com
,,,,,,,,,,,,
32,AAJIVIKA SOCIETY FOR WOMAN WORKERS AND GENDER DISCRIMINATION,"show_ngo_info(""200675"");","S/969/SDM/NW/2012, delhi (DELHI)",HOUSE NO A7DUJAN HOUSE JAMA MASJID MATIYA MAHAL DELHI NORTH DELHIPIN 11006,Women's Development & Empowerment,"B-130, SUBHASH PARK EXTENSION,UTTAM NAGAR, NEW DELHI-110059",DELHI,DELHI,Not Available,9718838663,Not Available,AAHARSANKALPFOUNDATION(at)GMAIL[dot]COM
,,,,,,,,,,,,
33,Aakansha Samiti,"show_ngo_info(""78357"");","s/26373, Delhi (DELHI)","E-437, Raghubir Nagar New Delhi - 110027","HIV/AIDS,Health & Family Welfare,Water Resources,Youth Affairs",HOUSE NO A7DUJAN HOUSE JAMA MASJID MATIYA MAHAL DELHI NORTH DELHIPIN 11006,delhi,DELHI,Not Available,7678453938,https://ngodarpan.gov.in/index.php/ngo/primaryngo,ranu_ranugupta(at)rediffmail[dot]com
,,,,,,,,,,,,
34,Aakar,"show_ngo_info(""221157"");","4457/IV/1924, Delhi (DELHI)","A-19, Gulmohar Park, New Delhi 110049","Art & Culture,Education & Literacy,Women's Development & Empowerment,Youth Affairs","E-437, Raghubir Nagar New Delhi - 110027",Delhi,DELHI,011-65492845,9718501391,Not Available,balwant_aakansha_samiti(at)yahoo[dot]com
,,,,,,,,,,,,
35,AAKAR FOUNDATION,"show_ngo_info(""235497"");","1759/2017, DELHI (DELHI)","LAXMI NAGAR , DELHI",Data Not Found,"A-19, Gulmohar Park, New Delhi 110049",Delhi,DELHI,Not Available,9910465161,Not Available,sabadewan(at)gmail[dot]com
,,,,,,,,,,,,
36,Aakar Growth & Research Organization,"show_ngo_info(""164710"");","District East/society/1719/ 2016,  Delhi (DELHI)","C-4 Extn, Kh No-301, New Ashok Nagar Delhi-110096.","Education & Literacy,Environment & Forests,Health & Family Welfare,Women's Development & Empowerment,Youth Affairs,Any Other","LAXMI NAGAR , DELHI",DELHI,DELHI,Not Available,8770075983,Not Available,aakarfoundationindia(at)gmail[dot]com
,,,,,,,,,,,,
37,AAKAR KALA SANGAM,"show_ngo_info(""22143"");","S-41512, DELHI (DELHI)","K-37, FIRST FLOOR,SRINIWASPURI, NEW DELHI-110065",Art & Culture,"C-4 Extn, Kh No-301, New Ashok Nagar Delhi-110096.",Delhi,DELHI,Not Available,9891530041,http://www.agrongo.com,agro00016(at)gmail[dot]com
,,,,,,,,,,,,
38,Aakar Social Ventures,"show_ngo_info(""158613"");","250695, Delhi (DELHI)","House No-203, Block-B, Saraswati Vihar, Pitampura","Education & Literacy,Health & Family Welfare,Women's Development & Empowerment,Any Other","K-37, FIRST FLOOR,SRINIWASPURI, NEW DELHI-110065",DELHI,DELHI,011-26914622,9810052406,Not Available,theatre[dot]aks(at)gmail.com
,,,,,,,,,,,,
39,AAKHAR EDUCATIONAL FOUNDATION,"show_ngo_info(""196834"");","325137, Delhi (DELHI)","B-1/274-G No-9-KH No-22, HARSH VIHAR DELHI East Delhi DL 110093 IN",Education & Literacy,"House No-203, Block-B, Saraswati Vihar, Pitampura",Delhi,DELHI,Not Available,9971980904,Not Available,pratik(at)aakarsocial[dot]org
,,,,,,,,,,,,
40,AALA HAZRAT TRUST,"show_ngo_info(""182721"");","246/2013-14, New Delhi (DELHI)","H. N0-91, Saudagran, Dargah Aala Hazrat, P.S- Kotwali, Bareilly -UP","Education & Literacy,Education & Literacy","B-1/274-G No-9-KH No-22, HARSH VIHAR DELHI East Delhi DL 110093 IN",Delhi,DELHI,Not Available,9999119860,http://www.aakhar.org.in,aakhar[dot]e.f(at)gmail.com
,,,,,,,,,,,,
41,AALISHAAN WELFARE ASSOCIATION,"show_ngo_info(""183162"");","47057, NEW DELHI (DELHI)",T-89 BABA FARID PURIWEST PATEL NAGAR NEW DELHI,Art & Culture,"H. N0-91, Saudagran, Dargah Aala Hazrat, P.S- Kotwali, Bareilly -UP",New Delhi,DELHI,Not Available,9634138000,http://www.aalahazrattrust.com/,aalahazrattrust(at)gmail[dot]com
,,,,,,,,,,,,
42,AAM FOUNDATION,"show_ngo_info(""170889"");","1746, Delhi (DELHI)","Valmiki Temple-1, Vasant Goan, Vasant Vihar",Education & Literacy,"T-89 BABA FARID PURI
WEST PATEL NAGAR NEW DELHI",NEW DELHI,DELHI,Not Available,9899832665,Not Available,geeta[dot]kush(at)yahoo.co.in
,,,,,,,,,,,,
43,Aamad,"show_ngo_info(""38363"");","S- 29176 of 1996, Delhi (DELHI)","D-168,Bathla Apartment,I P Extension, Patpar Ganj,Delhi-110092",Art & Culture,"Valmiki Temple-1, Vasant Goan, Vasant Vihar",Delhi,DELHI,Not Available,9818733297,Not Available,Abhishek[dot]Singh(at)Solanova.com
,,,,,,,,,,,,
44,AAMBRA FOUNDATION,"show_ngo_info(""194912"");","2806 Book No. 4 Volume No 3977, NEW DELHI (DELHI)","58, SHIVALIK APARTMENTS, ALAKNANDA, KALKAJI","Art & Culture,Children,Education & Literacy,Human Rights,Vocational Training,Women's Development & Empowerment","D-168,Bathla Apartment,I P Extension, Patpar Ganj,Delhi-110092",Delhi,DELHI,011-4307706,9810465046,Not Available,aamadk(at)yahoo[dot]com
,,,,,,,,,,,,
45,AAMRA KAJON,"show_ngo_info(""173874"");","S.36183, NEW DELHI (DELHI)",78 ANTARIKSH APARTMENT FIRST FLOOR VIKAS PURI,Data Not Found,"58, SHIVALIK APARTMENTS, ALAKNANDA, KALKAJI",NEW DELHI,DELHI,Not Available,9999918459,http://www.aambrafoundation.org/,shespeaks[dot]af(at)gmail.com
,,,,,,,,,,,,
46,AAN HAZRAT NIZAMUDDIN AULIA FOUNDATION,"show_ngo_info(""161376"");","49987, NEW Delhi (DELHI)","56, Basti Nizamuddin West, New Delhi.110013",Data Not Found,78 ANTARIKSH APARTMENT FIRST FLOOR VIKAS PURI,NEW DELHI,DELHI,Not Available,9868377700,http://www.aamrakajon.org,sukhamoy[dot]net(at)gmail.com
,,,,,,,,,,,,
47,AANANDAM TRUST,"show_ngo_info(""97237"");","858, Delhi (DELHI)","36/1/5 , yusuf sarai village , New Delhi-11006",Data Not Found,"56, Basti Nizamuddin West, New Delhi.110013",NEW Delhi,DELHI,Not Available,7982919016,http://www.benchmarkperfectcare@gmail.com,benchmarkperfectcare(at)gmail[dot]com
,,,,,,,,,,,,
48,AANGAN,"show_ngo_info(""91244"");","898090, NEW DELHI (DELHI)","1/2, SF, MALVIYA NAGAR, NEW DELHI, 110017",Education & Literacy,"36/1/5 , yusuf sarai village , New Delhi-11006",Delhi,DELHI,011-26854718,9910445519,http://aanandamtrust.org,gajanand1961(at)gmail[dot]com
,,,,,,,,,,,,
49,Aapki Sewa Welfare Foundation,"show_ngo_info(""193781"");","DistrictEast/District/223/2011, Delhi (DELHI)","A-31/20, Netaji Street No. 1, Maujpur","Education & Literacy,Environment & Forests,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment","1/2, SF, MALVIYA NAGAR, NEW DELHI, 110017",NEW DELHI,DELHI,011-26672582,7503675506,http://www.aangan.info,aangan1(at)yahoo[dot]com
,,,,,,,,,,,,
50,Aaradhya Foundations,"show_ngo_info(""151347"");","1746/2017, DELHI (DELHI)","31/326, Trilok Puri, Delhi","Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Children,Education & Literacy,Environment & Forests,Health & Family Welfare,Housing,Human Rights,Legal Awareness & Aid,Micro Finance (SHGs),Micro Small & Medium Enterprises,Minority Issues,Right to Information & Advocacy,Sports,Tourism,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,Youth Affairs","A-31/20, Netaji Street No. 1, Maujpur",Delhi,DELHI,Not Available,9953620862,http://aapkisewa.org/,info(at)aapkisewa[dot]org
,,,,,,,,,,,,
51,AARAMBH FOUNDATION,"show_ngo_info(""119235"");","963, Delhi (DELHI)","1343, sector 23A, Near Carterpuri Shiv Mandir, Gurgaon 122017","Children,Education & Literacy,Information & Communication Technology,Vocational Training,Women's Development & Empowerment","A-31/20, Netaji Street No. 1, Maujpur",Delhi,DELHI,Not Available,9953620862,http://aapkisewa.org/,info(at)aapkisewa[dot]org
,,,,,,,,,,,,
52,AARNOVA TECHNOLOGIES PRIVATE LIMITED,"show_ngo_info(""173805"");","U64203DL2003PTC122418, Delhi (DELHI)","Plot Number 357B, Second FloorSector 37, Pace City 2Udyog Vihar, Phase VIGurgaon, Haryana122003",Data Not Found,"1343, sector 23A, Near Carterpuri Shiv Mandir, Gurgaon 122017",Delhi,DELHI,0124-4055330,9911405330,http://theaarambhfoundation.org,aarambhfoundation[dot]ngo(at)gmail.com
,,,,,,,,,,,,
53,AAROHAN,"show_ngo_info(""167066"");","S-54236 of 2005, New Delhi (DELHI)","B-127,Right Side, Ground Floor, Malviya Nagar, New Delhi, Delhi 110017","Art & Culture,Children,Civic Issues,Differently Abled,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Health & Family Welfare,HIV/AIDS,Information & Communication Technology,Legal Awareness & Aid,Minority Issues,New & Renewable Energy,Nutrition,Rural Development & Poverty Alleviation,Sports,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,Youth Affairs","Plot Number 357B, Second Floor
Sector 37, Pace City 2
Udyog Vihar, Phase VI
Gurgaon, Haryana122003",Delhi,DELHI,Not Available,9773506882,http://www.gramlite.com,info(at)gramlite[dot]com
,,,,,,,,,,,,
54,AARTI CHARITABLE TRUST,"show_ngo_info(""160850"");","3763, DELHI (DELHI)","A-208, Chungi No. 2, Lal Kuan , M.B. Road, New Delhi -110044","Children,Education & Literacy,Vocational Training,Art & Culture,Health & Family Welfare","B-127,Right Side, Ground Floor, Malviya Nagar, New Delhi, Delhi 110017",New Delhi,DELHI,Not Available,9910059312,http://www.aarohanngo.org,AAROHANNGO(at)GMAIL[dot]COM
,,,,,,,,,,,,
55,AARTI SINGAL FOUNDATION,"show_ngo_info(""204725"");","2299, NEW DELHI (DELHI)",4 Amrita shergill Marg new Delhi 110003,"Art & Culture,Education & Literacy,Food Processing,Health & Family Welfare","A-208, Chungi No. 2, Lal Kuan , M.B. Road, New Delhi -110044",DELHI,DELHI,Not Available,8447591925,http://www.aarticharitabletrust.in,info(at)aarticharitabletrust[dot]in
,,,,,,,,,,,,
56,AARUSH EDUCATIONAL RESEARCH TRAINING AND DEVELOPMENT SOCIETY,"show_ngo_info(""161821"");","31/05/2012, NEW DELHI (DELHI)","D-45,BASEMENTPANCHSHEEL ENCLAVENEW DELHI-110017",Education & Literacy,4 Amrita shergill Marg new Delhi 110003,NEW DELHI,DELHI,Not Available,9811115888,http://aarticharitabletrust.com,rkrastogi(at)bpsl[dot]net
,,,,,,,,,,,,
57,AARYANJALI CARE FOUNDATION,"show_ngo_info(""198001"");","U85100DL2011NFL229251, NEW DELHI (DELHI)","FLAT NO.-344, 6TH FLOOR, BLOCK-B, SECTOR 18B, DDA MULTISTORY BUILDING, DWARKA",Data Not Found,"D-45,BASEMENTPANCHSHEEL ENCLAVENEW DELHI-110017",NEW DELHI,DELHI,Not Available,7503679050,Not Available,AYODHYA[dot]SPH(at)GMAIL.COM
,,,,,,,,,,,,
58,AAS,"show_ngo_info(""205406"");","S-52630, Delhi (DELHI)","C 5, LGF, Lajpat NagarIII, New Delhi -110024","Art & Culture,Health & Family Welfare,Women's Development & Empowerment,Education & Literacy","FLAT NO.-344, 6TH FLOOR, BLOCK-B, SECTOR 18B, DDA MULTISTORY BUILDING, DWARKA",NEW DELHI,DELHI,Not Available,8744059242,Not Available,AARYANJALICAREFOUNDATION(at)GMAIL[dot]COM
,,,,,,,,,,,,
59,Aas Welfare Foundation,"show_ngo_info(""192407"");","S-64715, NCT of Delhi (DELHI)",A-1281/7 GD Colony Mayur Vihar Ph. 3 Delhi,"Art & Culture,Children,Disaster Management,Drinking Water,Education & Literacy,Environment & Forests,Health & Family Welfare,Nutrition,Vocational Training,Women's Development & Empowerment,Youth Affairs","C 5, LGF, Lajpat NagarIII, New Delhi -110024",Delhi,DELHI,Not Available,9811067545,http://www.aasngo.org,virendradel(at)gmail[dot]com
,,,,,,,,,,,,
