sr_no,name,city,address,work_sector,Address,City,State,Telephone,Mobile No,Website Url,E-mail
13,AABHAAR FOUNDATION,"346, DELHI (DELHI)","103, SHARMA COMPLEX, A-2, GURU NANAK PURA, LAXMINAGAR, DELHI-110092",Data Not Found,"307, Crown Heights Sector10, Rohini, NearRithala Metro StationNew Delhi - 110085",New Delhi,DELHI,Not Available,7340786436,Not Available,a2nproject2018@gmail.com
14,Aabhass Foundation,"Districteast/Society/1445/2015, Delhi (DELHI)","408, First floor, West Guru Angad Nagar, Laxmi Nagar, Delhi-110092.","Animal Husbandry, Dairying  &  Fisheries,Aged/Elderly,Agriculture,Children,Civic Issues,Differently Abled,Disaster Management,Education & Literacy,Environment & Forests,Health & Family Welfare,HIV/AIDS,Human Rights,Information & Communication Technology,Legal Awareness & Aid,Labour & Employment,Minority Issues,New & Renewable Energy,Panchayati Raj,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Science & Technology,Sports,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment","103, SHARMA COMPLEX, A-2, GURU NANAK PURA, LAXMINAGAR, DELHI-110092",DELHI,DELHI,Not Available,8700321268,Not Available,HMOHANCO50@GMAIL.COM
15,AACHIEVERS FOUNDATION,"1347, Delhi (DELHI)","Rohini,Sector15, PocketC9, House no32",Education & Literacy,"408, First floor, West Guru Angad Nagar, Laxmi Nagar, Delhi-110092.",Delhi,DELHI,011-47155068,9643744084,http://,aabhassfoundation2015@gmail.com
16,Aadar Charitable Trust,"1556, NEW DELHI (DELHI)","236, RAJPUR KHURD EXTENSION, CHHATARPUR, NEAR-TRIVOLI GARDEN, NEW DELHI-110068",Data Not Found,"Rohini,Sector15, PocketC9, House no32",Delhi,DELHI,Not Available,9560626013,Not Available,aachieversfoundation@gmail.com
17,AADARSH YUVA MANDAL,"S/62416/2008, NEW DELHI (DELHI)",BLOCK C-2 HOUSE NUMBER 437 SULTAN PURI DELHI 110086,Data Not Found,"236, RAJPUR KHURD EXTENSION, CHHATARPUR, NEAR-TRIVOLI GARDEN, NEW DELHI-110068",NEW DELHI,DELHI,Not Available,9810001190,Not Available,admin@ammtys.com
18,Aaddinath Lakshya Education & Welfare Society,"S/2248/SDM/NW/2015, Delhi (DELHI)",House No 153/1 BlockA Inder Enclave Phase-2 New Delhi,"Women's Development & Empowerment,Vocational Training,Education & Literacy,Sports,Agriculture,Children,Dalit Upliftment,Disaster Management,Any Other,Health & Family Welfare",BLOCK C-2 HOUSE NUMBER 437 SULTAN PURI DELHI 110086,NEW DELHI,DELHI,Not Available,9211471067,Not Available,tejpalrana826@gmail.com
19,AADERSH GRAMODAY SEVA SANSTHAN,"S-E/1413/2018, NEW DELHI (DELHI)","GD-99, GALI NO. 3, PUL PAHLADPUR, NEW DELHI-110072","Agriculture,Civic Issues,Drinking Water,Education & Literacy,Youth Affairs",House No 153/1 BlockA Inder Enclave Phase-2 New Delhi,Delhi,DELHI,Not Available,9871203472,https://sites.google.com/site/aaddinathlakshya/,info.aaddinathlakshya@gmail.com
20,AADHAAR An Association For Development Harmony & Action Research,"S/RS/SW/0214/2011, New Delhi (DELHI)","Uttarakhand office- 195/1, Vasant Vihar, Dehradun, 248006Reg. office-C/O Dr. Rajesh Sinha, A-12, Vasant Appartment,181/9, Kishangarh(opp. B-4), Vasantkunj, New Delhi-110070","Agriculture,Children,Dalit Upliftment,Disaster Management,Panchayati Raj,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Water Resources,Women's Development & Empowerment,Environment & Forests","GD-99, GALI NO. 3, PUL PAHLADPUR, NEW DELHI-110072",NEW DELHI,DELHI,Not Available,7011033832,Not Available,aadershgramodaysevasansthan@gmail.com
21,AADHAR,"DIT/E/98-99/A1094/981/338, New Delhi (DELHI)","A 361, Meera Bagh, Outer Ring Road,New Delhi -110087","Children,Health & Family Welfare","Uttarakhand office- 195/1, Vasant Vihar, Dehradun, 248006
Reg. office-C/O Dr. Rajesh Sinha, A-12, Vasant Appartment,181/9, Kishangarh(opp. B-4), Vasantkunj, New Delhi-110070",New Delhi,DELHI,Not Available,8171660669,http://aadhaarassociation.org,mailaadhaar@gmail.com
22,Aadhar Nirman Foundation,"S/RS/SW/1216/2014, NEW DELHI (DELHI)","242, GANPATI APARTMENT, SEC-9, PLOT NO.6, DWARKA, NEW DELHI-110075","Children,Education & Literacy,Rural Development & Poverty Alleviation,Science & Technology","A 361, Meera Bagh, Outer Ring Road,
New Delhi -110087",New Delhi,DELHI,Not Available,9212034435,http://www.aadhar.org,krajeshwary@gmail.com
23,Aadharica Socio Economic Empowerment Association,"S/678, DELHI (DELHI)","Reg. OfficeKh.No5, Gali No-4/1, Sangam Vihar, Wazirabad Village, Delhi-110084Branch Office - Verma Sadan, Shastri Nagar, Badda Gadda,malgodam road, Ballia 277001",Women's Development & Empowerment,"242, GANPATI APARTMENT, SEC-9, PLOT NO.6, DWARKA, NEW DELHI-110075",NEW DELHI,DELHI,Not Available,9990824246,Not Available,anfngo2014@gmail.com
24,Aadhunik,"S-23968, Laxmi Nagar (DELHI)",25 J Extension,Art & Culture,"Reg. OfficeKh.No5, Gali No-4/1, Sangam Vihar, Wazirabad Village, Delhi-110084Branch Office - Verma Sadan, Shastri Nagar, Badda Gadda,malgodam road, Ballia 277001",DELHI,DELHI,011-65291444,9310181520,Not Available,aaseeamamta9@gmail.com
25,AADHUNIK SAHITYA,"DELBIL/2012/42547, DELHI (DELHI)",AD/94/DSHALIMAR BAGHDELHI -110088,Art & Culture,25 J Extension,Laxmi Nagar,DELHI,011-22014747,9953906652,Not Available,dr.krishankumarsharma@gmail.com
26,AADHYA DURGA FOUNDATION,"123, DELHI (DELHI)","HOUSE NO 10656, FIRST FLOOR, NEAR MANAK PURA, KAROL BAGH, DELHI 110005.","Art & Culture,Children,Civic Issues,Drinking Water,Education & Literacy,Environment & Forests,Sports,Vocational Training,Women's Development & Empowerment,Youth Affairs","AD/94/D
SHALIMAR BAGHDELHI -110088",DELHI,DELHI,Not Available,9811184393,Not Available,aadhuniksahitya@gmail.com
27,AADIM SANSKRITI,"S/2224/DISTT SOUTH/20017, NEW DELHI (DELHI)","3252 SECTOR A, POCKET B, VASANT KUNJ, NEW DELHI -110070",Art & Culture,"HOUSE NO 10656, FIRST FLOOR, NEAR MANAK PURA, KAROL BAGH, DELHI 110005.",DELHI,DELHI,Not Available,9990515841,Not Available,vandanaraheja4@gmail.com
28,AADYA FOUNDATION,"500, NEW DELHI (DELHI)","1A, 1ST FLOOR, JAIN MANDIR MARG","Women's Development & Empowerment,Agriculture,Children,Environment & Forests,HIV/AIDS,Human Rights,Minority Issues,Panchayati Raj,Rural Development & Poverty Alleviation,Tribal Affairs","3252 SECTOR A, POCKET B, VASANT KUNJ, NEW DELHI -110070",NEW DELHI,DELHI,Not Available,9810865991,Not Available,rudramanipatra@gmail.com
29,Aagan Foundation For Children Emancipation,"S/548/SDM/NW/2011, New Delhi (DELHI)","Flat No. 202, D-22A, Budh Vihar, Near Badarpur Metro Station, Badarpur","Education & Literacy,Environment & Forests,Health & Family Welfare,HIV/AIDS,Minority Issues,Any Other","1A, 1ST FLOOR, JAIN MANDIR MARG",NEW DELHI,DELHI,Not Available,9250811195,http://www.aadyafoundation.in,vandanavatss@yahoo.com
30,AAGAZ FOUNDATION,"S47332 of 2003, DELHI (DELHI)","A-127, Inderpuri",Women's Development & Empowerment,"Flat No. 202, D-22A, Budh Vihar, Near Badarpur Metro Station, Badarpur",New Delhi,DELHI,Not Available,9811386723,Not Available,gargajay24@yahoo.co.in
31,AAHAR SANKALP FOUNDATION,"319, DELHI (DELHI)","B-130, SUBHASH PARK EXTENSION,UTTAM NAGAR, NEW DELHI-110059","Agriculture,Art & Culture,Children,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Labour & Employment,Nutrition,Rural Development & Poverty Alleviation,Sports,Tourism,Vocational Training,Water Resources,Women's Development & Empowerment,Youth Affairs","A-127, Inderpuri",DELHI,DELHI,Not Available,9911574440,Not Available,aagazfoundation.india@gmail.com
32,AAJIVIKA SOCIETY FOR WOMAN WORKERS AND GENDER DISCRIMINATION,"S/969/SDM/NW/2012, delhi (DELHI)",HOUSE NO A7DUJAN HOUSE JAMA MASJID MATIYA MAHAL DELHI NORTH DELHIPIN 11006,Women's Development & Empowerment,"B-130, SUBHASH PARK EXTENSION,UTTAM NAGAR, NEW DELHI-110059",DELHI,DELHI,Not Available,9718838663,Not Available,AAHARSANKALPFOUNDATION@GMAIL.COM
33,Aakansha Samiti,"s/26373, Delhi (DELHI)","E-437, Raghubir Nagar New Delhi - 110027","HIV/AIDS,Health & Family Welfare,Water Resources,Youth Affairs",HOUSE NO A7DUJAN HOUSE JAMA MASJID MATIYA MAHAL DELHI NORTH DELHIPIN 11006,delhi,DELHI,Not Available,7678453938,https://ngodarpan.gov.in/index.php/ngo/primaryngo,ranu_ranugupta@rediffmail.com
34,Aakar,"4457/IV/1924, Delhi (DELHI)","A-19, Gulmohar Park, New Delhi 110049","Art & Culture,Education & Literacy,Women's Development & Empowerment,Youth Affairs","E-437, Raghubir Nagar New Delhi - 110027",Delhi,DELHI,011-65492845,9718501391,Not Available,balwant_aakansha_samiti@yahoo.com
35,AAKAR FOUNDATION,"1759/2017, DELHI (DELHI)","LAXMI NAGAR , DELHI",Data Not Found,"A-19, Gulmohar Park, New Delhi 110049",Delhi,DELHI,Not Available,9910465161,Not Available,sabadewan@gmail.com
36,Aakar Growth & Research Organization,"District East/society/1719/ 2016,  Delhi (DELHI)","C-4 Extn, Kh No-301, New Ashok Nagar Delhi-110096.","Education & Literacy,Environment & Forests,Health & Family Welfare,Women's Development & Empowerment,Youth Affairs,Any Other","LAXMI NAGAR , DELHI",DELHI,DELHI,Not Available,8770075983,Not Available,aakarfoundationindia@gmail.com
37,AAKAR KALA SANGAM,"S-41512, DELHI (DELHI)","K-37, FIRST FLOOR,SRINIWASPURI, NEW DELHI-110065",Art & Culture,"C-4 Extn, Kh No-301, New Ashok Nagar Delhi-110096.",Delhi,DELHI,Not Available,9891530041,http://www.agrongo.com,agro00016@gmail.com
38,Aakar Social Ventures,"250695, Delhi (DELHI)","House No-203, Block-B, Saraswati Vihar, Pitampura","Education & Literacy,Health & Family Welfare,Women's Development & Empowerment,Any Other","K-37, FIRST FLOOR,SRINIWASPURI, NEW DELHI-110065",DELHI,DELHI,011-26914622,9810052406,Not Available,theatre.aks@gmail.com
39,AAKHAR EDUCATIONAL FOUNDATION,"325137, Delhi (DELHI)","B-1/274-G No-9-KH No-22, HARSH VIHAR DELHI East Delhi DL 110093 IN",Education & Literacy,"House No-203, Block-B, Saraswati Vihar, Pitampura",Delhi,DELHI,Not Available,9971980904,Not Available,pratik@aakarsocial.org
40,AALA HAZRAT TRUST,"246/2013-14, New Delhi (DELHI)","H. N0-91, Saudagran, Dargah Aala Hazrat, P.S- Kotwali, Bareilly -UP","Education & Literacy,Education & Literacy","B-1/274-G No-9-KH No-22, HARSH VIHAR DELHI East Delhi DL 110093 IN",Delhi,DELHI,Not Available,9999119860,http://www.aakhar.org.in,aakhar.e.f@gmail.com
41,AALISHAAN WELFARE ASSOCIATION,"47057, NEW DELHI (DELHI)",T-89 BABA FARID PURIWEST PATEL NAGAR NEW DELHI,Art & Culture,"H. N0-91, Saudagran, Dargah Aala Hazrat, P.S- Kotwali, Bareilly -UP",New Delhi,DELHI,Not Available,9634138000,http://www.aalahazrattrust.com/,aalahazrattrust@gmail.com
42,AAM FOUNDATION,"1746, Delhi (DELHI)","Valmiki Temple-1, Vasant Goan, Vasant Vihar",Education & Literacy,"T-89 BABA FARID PURI
WEST PATEL NAGAR NEW DELHI",NEW DELHI,DELHI,Not Available,9899832665,Not Available,geeta.kush@yahoo.co.in
43,Aamad,"S- 29176 of 1996, Delhi (DELHI)","D-168,Bathla Apartment,I P Extension, Patpar Ganj,Delhi-110092",Art & Culture,"Valmiki Temple-1, Vasant Goan, Vasant Vihar",Delhi,DELHI,Not Available,9818733297,Not Available,Abhishek.Singh@Solanova.com
44,AAMBRA FOUNDATION,"2806 Book No. 4 Volume No 3977, NEW DELHI (DELHI)","58, SHIVALIK APARTMENTS, ALAKNANDA, KALKAJI","Art & Culture,Children,Education & Literacy,Human Rights,Vocational Training,Women's Development & Empowerment","D-168,Bathla Apartment,I P Extension, Patpar Ganj,Delhi-110092",Delhi,DELHI,011-4307706,9810465046,Not Available,aamadk@yahoo.com
45,AAMRA KAJON,"S.36183, NEW DELHI (DELHI)",78 ANTARIKSH APARTMENT FIRST FLOOR VIKAS PURI,Data Not Found,"58, SHIVALIK APARTMENTS, ALAKNANDA, KALKAJI",NEW DELHI,DELHI,Not Available,9999918459,http://www.aambrafoundation.org/,shespeaks.af@gmail.com
46,AAN HAZRAT NIZAMUDDIN AULIA FOUNDATION,"49987, NEW Delhi (DELHI)","56, Basti Nizamuddin West, New Delhi.110013",Data Not Found,78 ANTARIKSH APARTMENT FIRST FLOOR VIKAS PURI,NEW DELHI,DELHI,Not Available,9868377700,http://www.aamrakajon.org,sukhamoy.net@gmail.com
47,AANANDAM TRUST,"858, Delhi (DELHI)","36/1/5 , yusuf sarai village , New Delhi-11006",Data Not Found,"56, Basti Nizamuddin West, New Delhi.110013",NEW Delhi,DELHI,Not Available,7982919016,http://www.benchmarkperfectcare@gmail.com,benchmarkperfectcare@gmail.com
48,AANGAN,"898090, NEW DELHI (DELHI)","1/2, SF, MALVIYA NAGAR, NEW DELHI, 110017",Education & Literacy,"36/1/5 , yusuf sarai village , New Delhi-11006",Delhi,DELHI,011-26854718,9910445519,http://aanandamtrust.org,gajanand1961@gmail.com
49,Aapki Sewa Welfare Foundation,"DistrictEast/District/223/2011, Delhi (DELHI)","A-31/20, Netaji Street No. 1, Maujpur","Education & Literacy,Environment & Forests,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment","1/2, SF, MALVIYA NAGAR, NEW DELHI, 110017",NEW DELHI,DELHI,011-26672582,7503675506,http://www.aangan.info,aangan1@yahoo.com
50,Aaradhya Foundations,"1746/2017, DELHI (DELHI)","31/326, Trilok Puri, Delhi","Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Children,Education & Literacy,Environment & Forests,Health & Family Welfare,Housing,Human Rights,Legal Awareness & Aid,Micro Finance (SHGs),Micro Small & Medium Enterprises,Minority Issues,Right to Information & Advocacy,Sports,Tourism,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,Youth Affairs","A-31/20, Netaji Street No. 1, Maujpur",Delhi,DELHI,Not Available,9953620862,http://aapkisewa.org/,info@aapkisewa.org
51,AARAMBH FOUNDATION,"963, Delhi (DELHI)","1343, sector 23A, Near Carterpuri Shiv Mandir, Gurgaon 122017","Children,Education & Literacy,Information & Communication Technology,Vocational Training,Women's Development & Empowerment","A-31/20, Netaji Street No. 1, Maujpur",Delhi,DELHI,Not Available,9953620862,http://aapkisewa.org/,info@aapkisewa.org
52,AARNOVA TECHNOLOGIES PRIVATE LIMITED,"U64203DL2003PTC122418, Delhi (DELHI)","Plot Number 357B, Second FloorSector 37, Pace City 2Udyog Vihar, Phase VIGurgaon, Haryana122003",Data Not Found,"1343, sector 23A, Near Carterpuri Shiv Mandir, Gurgaon 122017",Delhi,DELHI,0124-4055330,9911405330,http://theaarambhfoundation.org,aarambhfoundation.ngo@gmail.com
53,AAROHAN,"S-54236 of 2005, New Delhi (DELHI)","B-127,Right Side, Ground Floor, Malviya Nagar, New Delhi, Delhi 110017","Art & Culture,Children,Civic Issues,Differently Abled,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Health & Family Welfare,HIV/AIDS,Information & Communication Technology,Legal Awareness & Aid,Minority Issues,New & Renewable Energy,Nutrition,Rural Development & Poverty Alleviation,Sports,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,Youth Affairs","Plot Number 357B, Second Floor
Sector 37, Pace City 2
Udyog Vihar, Phase VI
Gurgaon, Haryana122003",Delhi,DELHI,Not Available,9773506882,http://www.gramlite.com,info@gramlite.com
54,AARTI CHARITABLE TRUST,"3763, DELHI (DELHI)","A-208, Chungi No. 2, Lal Kuan , M.B. Road, New Delhi -110044","Children,Education & Literacy,Vocational Training,Art & Culture,Health & Family Welfare","B-127,Right Side, Ground Floor, Malviya Nagar, New Delhi, Delhi 110017",New Delhi,DELHI,Not Available,9910059312,http://www.aarohanngo.org,AAROHANNGO@GMAIL.COM
55,AARTI SINGAL FOUNDATION,"2299, NEW DELHI (DELHI)",4 Amrita shergill Marg new Delhi 110003,"Art & Culture,Education & Literacy,Food Processing,Health & Family Welfare","A-208, Chungi No. 2, Lal Kuan , M.B. Road, New Delhi -110044",DELHI,DELHI,Not Available,8447591925,http://www.aarticharitabletrust.in,info@aarticharitabletrust.in
56,AARUSH EDUCATIONAL RESEARCH TRAINING AND DEVELOPMENT SOCIETY,"31/05/2012, NEW DELHI (DELHI)","D-45,BASEMENTPANCHSHEEL ENCLAVENEW DELHI-110017",Education & Literacy,4 Amrita shergill Marg new Delhi 110003,NEW DELHI,DELHI,Not Available,9811115888,http://aarticharitabletrust.com,rkrastogi@bpsl.net
57,AARYANJALI CARE FOUNDATION,"U85100DL2011NFL229251, NEW DELHI (DELHI)","FLAT NO.-344, 6TH FLOOR, BLOCK-B, SECTOR 18B, DDA MULTISTORY BUILDING, DWARKA",Data Not Found,"D-45,BASEMENTPANCHSHEEL ENCLAVENEW DELHI-110017",NEW DELHI,DELHI,Not Available,7503679050,Not Available,AYODHYA.SPH@GMAIL.COM
58,AAS,"S-52630, Delhi (DELHI)","C 5, LGF, Lajpat NagarIII, New Delhi -110024","Art & Culture,Health & Family Welfare,Women's Development & Empowerment,Education & Literacy","FLAT NO.-344, 6TH FLOOR, BLOCK-B, SECTOR 18B, DDA MULTISTORY BUILDING, DWARKA",NEW DELHI,DELHI,Not Available,8744059242,Not Available,AARYANJALICAREFOUNDATION@GMAIL.COM
59,Aas Welfare Foundation,"S-64715, NCT of Delhi (DELHI)",A-1281/7 GD Colony Mayur Vihar Ph. 3 Delhi,"Art & Culture,Children,Disaster Management,Drinking Water,Education & Literacy,Environment & Forests,Health & Family Welfare,Nutrition,Vocational Training,Women's Development & Empowerment,Youth Affairs","C 5, LGF, Lajpat NagarIII, New Delhi -110024",Delhi,DELHI,Not Available,9811067545,http://www.aasngo.org,virendradel@gmail.com
60,AASH FOUNDATION,"DISTRICT EAST/SOCIETY952/2014, Delhi (DELHI)","H.No./ 80,3RD FLOOR, STREET NO.1, VILLAGE KHICHRIPUR, DELHI-110091","Animal Husbandry, Dairying  &  Fisheries,Agriculture,Art & Culture,Differently Abled,Disaster Management,Dalit Upliftment,Drinking Water,Education & Literacy,Environment & Forests,Health & Family Welfare,HIV/AIDS,Human Rights,Information & Communication Technology,Legal Awareness & Aid,Labour & Employment,Micro Finance (SHGs),New & Renewable Energy,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Urban Development & Poverty Alleviation,Vocational Training,Water Resources,Women's Development & Empowerment,Youth Affairs",A-1281/7 GD Colony Mayur Vihar Ph. 3 Delhi,NCT of Delhi,DELHI,Not Available,9899152489,Not Available,aasfoundationncr@gmail.com
61,AASHA AUR JANSEWA MAHILA BAL VIKAS TRUST,"430, BADARPUR (DELHI)","H NO.- 27-A, GALI NO.-1, BLOCK -A JAITPUR EXTN. PART-II, BADARPUR, NEW DELHI-110044","Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Children,Differently Abled,Disaster Management,Education & Literacy,Aged/Elderly,Environment & Forests,Health & Family Welfare,Labour & Employment,Land Resources,Minority Issues,Nutrition,Rural Development & Poverty Alleviation,Sports,Tourism,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Water Resources,Women's Development & Empowerment,Agriculture,Art & Culture,Children,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Health & Family Welfare,Housing,Human Rights,Minority Issues,New & Renewable Energy,Panchayati Raj,Right to Information & Advocacy,Sports,Tourism,Urban Development & Poverty Alleviation,Vocational Training,Water Resources,Women's Development & Empowerment,Any Other,Animal Husbandry, Dairying  &  Fisheries,Disaster Management,Labour & Employment,Land Resources,Legal Awareness & Aid,Micro Small & Medium Enterprises,Nutrition,Rural Development & Poverty Alleviation,Science & Technology,Tribal Affairs","H.No./ 80,3RD FLOOR, STREET NO.1, VILLAGE KHICHRIPUR, DELHI-110091",Delhi,DELHI,011-68506475,9911506475,Not Available,aashfoundation2014@gmail.com
62,aashalata victoria wilkinson memorial charitable,"10058, NEW DELHI (DELHI)","L-96-D , 2nd Floor ,D.D.A Flats ,Saket.","Children,Education & Literacy,Health & Family Welfare,Sports,Vocational Training,Women's Development & Empowerment","H NO.- 27-A, GALI NO.-1, BLOCK -A JAITPUR EXTN. PART-II, BADARPUR, NEW DELHI-110044",BADARPUR,DELHI,Not Available,9310341847,Not Available,aashaaurjansewa@gmail.com
63,Aashayein Ek Ummeed,"799, Delhi (DELHI)","H.NO-264, Shiva Khand, 2nd Floor, Vishwakarma Nagar","Children,Civic Issues,Dalit Upliftment,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Health & Family Welfare,HIV/AIDS,Human Rights,Labour & Employment,Legal Awareness & Aid,Micro Finance (SHGs),Micro Small & Medium Enterprises,Minority Issues,New & Renewable Energy,Nutrition,Prisoner's Issues,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,Youth Affairs","L-96-D , 2nd Floor ,D.D.A Flats ,Saket.",NEW DELHI,DELHI,011-26851611,9910002002,http://www.aashalata.org,victoriawilkinsontrust@yahoo.co.in
64,AASHAYEIN WELFARE SOCIETY,"3065, DELHI (DELHI)","133, VARDHMAN TOWER, PREET VIHAR COMMERCIAL COMPLEX",Urban Development & Poverty Alleviation,"H.NO-264, Shiva Khand, 2nd Floor, Vishwakarma Nagar",Delhi,DELHI,Not Available,8800433847,http://www.aashayeinekummeed.org,aeudelhi@gmail.com
65,AASHMA POLYCLINIC CHARITABLE SOCIETY,"S/WEST/2010/8900021, DELHI (DELHI)","E 181,OM VIHAR, PHASE-5, UTTAM NAGAR NEW DELHI - 110059","HIV/AIDS,Health & Family Welfare","133, VARDHMAN TOWER, PREET VIHAR COMMERCIAL COMPLEX",DELHI,DELHI,Not Available,8744900900,HTPPS://WWW.AASHAYEIN.IN,mukul.jain@aashayein.in
